,gene_id,gene_name
0,ENSG00000223972.5,DDX11L1
1,ENSG00000227232.5,WASH7P
2,ENSG00000278267.1,MIR6859-1
3,ENSG00000243485.5,MIR1302-2HG
4,ENSG00000284332.1,MIR1302-2
5,ENSG00000237613.2,FAM138A
6,ENSG00000268020.3,OR4G4P
7,ENSG00000240361.2,OR4G11P
8,ENSG00000186092.6,OR4F5
9,ENSG00000238009.6,AL627309.1
10,ENSG00000239945.1,AL627309.3
11,ENSG00000233750.3,CICP27
12,ENSG00000268903.1,AL627309.6
13,ENSG00000269981.1,AL627309.7
14,ENSG00000239906.1,AL627309.2
15,ENSG00000241860.7,AL627309.5
16,ENSG00000222623.1,RNU6-1100P
17,ENSG00000241599.1,AL627309.4
18,ENSG00000279928.2,DDX11L17
19,ENSG00000279457.4,WASH9P
20,ENSG00000273874.1,MIR6859-2
21,ENSG00000228463.10,AP006222.1
22,ENSG00000286448.1,AP006222.2
23,ENSG00000236679.2,RPL23AP24
24,ENSG00000236601.2,AL732372.1
25,ENSG00000237094.12,AL732372.2
26,ENSG00000269732.1,WBP1LP7
27,ENSG00000284733.2,OR4F29
28,ENSG00000233653.3,CICP7
29,ENSG00000250575.1,AL732372.3
30,ENSG00000278757.1,U6
31,ENSG00000230021.10,AL669831.3
32,ENSG00000235146.2,AC114498.1
33,ENSG00000225972.1,MTND1P23
34,ENSG00000225630.1,MTND2P28
35,ENSG00000237973.1,MTCO1P12
36,ENSG00000278791.1,AC114498.2
37,ENSG00000229344.1,MTCO2P12
38,ENSG00000240409.1,MTATP8P1
39,ENSG00000248527.1,MTATP6P1
40,ENSG00000198744.5,MTCO3P12
41,ENSG00000268663.1,WBP1LP6
42,ENSG00000284662.1,OR4F16
43,ENSG00000229376.3,CICP3
44,ENSG00000228327.3,AL669831.1
45,ENSG00000223181.1,RNU6-1199P
46,ENSG00000229905.1,AL669831.2
47,ENSG00000237491.10,LINC01409
48,ENSG00000285268.1,AL669831.6
49,ENSG00000230092.7,AL669831.4
50,ENSG00000177757.2,FAM87B
51,ENSG00000228794.10,LINC01128
52,ENSG00000225880.5,LINC00115
53,ENSG00000288531.1,AL669831.7
54,ENSG00000230368.2,FAM41C
55,ENSG00000234711.1,TUBB8P11
56,ENSG00000283040.1,AL669831.5
57,ENSG00000272438.1,AL645608.6
58,ENSG00000230699.2,AL645608.2
59,ENSG00000241180.1,AL645608.4
60,ENSG00000223764.2,LINC02593
61,ENSG00000187634.13,SAMD11
62,ENSG00000188976.11,NOC2L
63,ENSG00000187961.14,KLHL17
64,ENSG00000187583.11,PLEKHN1
65,ENSG00000187642.9,PERM1
66,ENSG00000272512.1,AL645608.7
67,ENSG00000188290.11,HES4
68,ENSG00000187608.10,ISG15
69,ENSG00000231702.2,AL645608.3
70,ENSG00000224969.1,AL645608.1
71,ENSG00000188157.15,AGRN
72,ENSG00000242590.1,AL645608.5
73,ENSG00000217801.10,AL390719.1
74,ENSG00000273443.1,AL645608.8
75,ENSG00000237330.3,RNF223
76,ENSG00000131591.18,C1orf159
77,ENSG00000285812.1,AL390719.3
78,ENSG00000223823.1,LINC01342
79,ENSG00000207730.3,MIR200B
80,ENSG00000207607.3,MIR200A
81,ENSG00000198976.1,MIR429
82,ENSG00000272141.1,AL390719.2
83,ENSG00000205231.1,TTLL10-AS1
84,ENSG00000162571.14,TTLL10
85,ENSG00000186891.14,TNFRSF18
86,ENSG00000186827.11,TNFRSF4
87,ENSG00000078808.19,SDF4
88,ENSG00000176022.7,B3GALT6
89,ENSG00000184163.3,C1QTNF12
90,ENSG00000260179.1,AL162741.1
91,ENSG00000160087.21,UBE2J2
92,ENSG00000230415.1,LINC01786
93,ENSG00000162572.21,SCNN1D
94,ENSG00000131584.19,ACAP3
95,ENSG00000278073.1,MIR6726
96,ENSG00000169972.12,PUSL1
97,ENSG00000127054.21,INTS11
98,ENSG00000283712.1,MIR6727
99,ENSG00000240731.1,AL139287.1
100,ENSG00000224051.7,CPTP
101,ENSG00000169962.5,TAS1R3
102,ENSG00000107404.20,DVL1
103,ENSG00000284372.1,MIR6808
104,ENSG00000162576.17,MXRA8
105,ENSG00000175756.13,AURKAIP1
106,ENSG00000223663.2,NDUFB4P8
107,ENSG00000221978.12,CCNL2
108,ENSG00000224870.7,MRPL20-AS1
109,ENSG00000242485.6,MRPL20
110,ENSG00000264293.2,RN7SL657P
111,ENSG00000272455.1,MRPL20-DT
112,ENSG00000235098.9,ANKRD65
113,ENSG00000225905.1,AL391244.1
114,ENSG00000205116.3,TMEM88B
115,ENSG00000225285.1,LINC01770
116,ENSG00000179403.12,VWA1
117,ENSG00000215915.10,ATAD3C
118,ENSG00000160072.20,ATAD3B
119,ENSG00000284740.1,AL645728.2
120,ENSG00000197785.14,ATAD3A
121,ENSG00000205090.9,TMEM240
122,ENSG00000160075.12,SSU72
123,ENSG00000215014.5,AL645728.1
124,ENSG00000274481.1,AL691432.3
125,ENSG00000228594.4,FNDC10
126,ENSG00000286989.1,AL691432.4
127,ENSG00000272106.1,AL691432.2
128,ENSG00000197530.12,MIB2
129,ENSG00000189409.14,MMP23B
130,ENSG00000248333.9,CDK11B
131,ENSG00000272004.1,FO704657.1
132,ENSG00000189339.12,SLC35E2B
133,ENSG00000269737.2,AL691432.1
134,ENSG00000215914.4,MMP23A
135,ENSG00000008128.23,CDK11A
136,ENSG00000268575.1,AL031282.2
137,ENSG00000227775.3,AL031282.1
138,ENSG00000215790.8,SLC35E2A
139,ENSG00000008130.15,NADK
140,ENSG00000078369.18,GNB1
141,ENSG00000231050.1,AL109917.1
142,ENSG00000169885.10,CALML6
143,ENSG00000178821.13,TMEM52
144,ENSG00000142609.18,CFAP74
145,ENSG00000233542.2,AL391845.2
146,ENSG00000187730.9,GABRD
147,ENSG00000226969.1,AL391845.1
148,ENSG00000067606.17,PRKCZ
149,ENSG00000271806.1,AL590822.2
150,ENSG00000182873.5,PRKCZ-AS1
151,ENSG00000162585.17,FAAP20
152,ENSG00000234396.3,AL590822.1
153,ENSG00000157933.10,SKI
154,ENSG00000287356.1,AL590822.3
155,ENSG00000116151.14,MORN1
156,ENSG00000272161.1,AL589739.1
157,ENSG00000269896.2,AL513477.1
158,ENSG00000272420.1,AL513477.2
159,ENSG00000157916.20,RER1
160,ENSG00000157911.11,PEX10
161,ENSG00000149527.18,PLCH2
162,ENSG00000224387.1,AL139246.1
163,ENSG00000229393.1,AL139246.4
164,ENSG00000157881.16,PANK4
165,ENSG00000197921.6,HES5
166,ENSG00000272449.2,AL139246.5
167,ENSG00000238164.6,TNFRSF14-AS1
168,ENSG00000157873.18,TNFRSF14
169,ENSG00000225931.3,AL139246.2
170,ENSG00000228037.1,AL139246.3
171,ENSG00000157870.17,PRXL2B
172,ENSG00000142606.16,MMEL1
173,ENSG00000237058.1,MMEL1-AS1
174,ENSG00000215912.12,TTC34
175,ENSG00000285945.1,AC242022.2
176,ENSG00000283259.1,AC242022.1
177,ENSG00000233234.1,AL592464.2
178,ENSG00000287396.1,AL592464.3
179,ENSG00000231630.1,AL592464.1
180,ENSG00000284745.1,AL589702.1
181,ENSG00000169717.7,ACTRT2
182,ENSG00000177133.11,PRDM16-DT
183,ENSG00000142611.17,PRDM16
184,ENSG00000283572.1,MIR4251
185,ENSG00000226286.1,AL008733.1
186,ENSG00000279839.1,AL512383.1
187,ENSG00000272235.1,AL590438.1
188,ENSG00000287828.1,AL354743.2
189,ENSG00000286518.1,AL354743.1
190,ENSG00000130762.15,ARHGEF16
191,ENSG00000272088.1,AL512413.1
192,ENSG00000162591.16,MEGF6
193,ENSG00000207776.1,MIR551A
194,ENSG00000238260.1,AL513320.1
195,ENSG00000158109.15,TPRG1L
196,ENSG00000116213.16,WRAP73
197,ENSG00000078900.15,TP73
198,ENSG00000227589.1,TP73-AS3
199,ENSG00000235131.1,TP73-AS2
200,ENSG00000227372.12,TP73-AS1
201,ENSG00000276189.1,AL136528.1
202,ENSG00000162592.10,CCDC27
203,ENSG00000235169.11,SMIM1
204,ENSG00000130764.10,LRRC47
205,ENSG00000266075.2,RN7SL574P
206,ENSG00000272153.1,AL365330.1
207,ENSG00000116198.14,CEP104
208,ENSG00000169598.17,DFFB
209,ENSG00000198912.12,C1orf174
210,ENSG00000236423.6,LINC01134
211,ENSG00000233304.7,LINC01346
212,ENSG00000226374.3,LINC01345
213,ENSG00000284668.2,LINC02780
214,ENSG00000284703.1,AL805961.1
215,ENSG00000229280.1,EEF1DP6
216,ENSG00000235054.4,LINC01777
217,ENSG00000284694.1,AL355602.1
218,ENSG00000227169.2,Z98747.1
219,ENSG00000232596.3,LINC01646
220,ENSG00000196581.11,AJAP1
221,ENSG00000287586.1,Z98886.1
222,ENSG00000284739.1,BX005132.1
223,ENSG00000284674.1,LINC02781
224,ENSG00000231510.1,LINC02782
225,ENSG00000284616.1,AL139823.1
226,ENSG00000284692.2,Z98259.3
227,ENSG00000284666.1,Z98259.2
228,ENSG00000260972.1,Z98259.1
229,ENSG00000283356.1,Z97988.2
230,ENSG00000236948.2,AL365255.1
231,ENSG00000264341.1,Z97988.1
232,ENSG00000264101.1,MIR4689
233,ENSG00000131697.18,NPHP4
234,ENSG00000069424.15,KCNAB2
235,ENSG00000116254.18,CHD5
236,ENSG00000285629.1,AL031847.1
237,ENSG00000116251.11,RPL22
238,ENSG00000226944.1,RNF207-AS1
239,ENSG00000158286.13,RNF207
240,ENSG00000116237.16,ICMT
241,ENSG00000225077.3,LINC00337
242,ENSG00000173673.8,HES3
243,ENSG00000158292.7,GPR153
244,ENSG00000097021.20,ACOT7
245,ENSG00000271746.1,AL031848.2
246,ENSG00000069812.11,HES2
247,ENSG00000187017.17,ESPN
248,ENSG00000265392.1,MIR4252
249,ENSG00000231868.1,AL031848.1
250,ENSG00000215788.11,TNFRSF25
251,ENSG00000171680.23,PLEKHG5
252,ENSG00000162408.11,NOL9
253,ENSG00000253022.1,RNU6-731P
254,ENSG00000229519.2,AL591866.1
255,ENSG00000173662.21,TAS1R1
256,ENSG00000204859.13,ZBTB48
257,ENSG00000162413.16,KLHL21
258,ENSG00000116273.6,PHF13
259,ENSG00000041988.15,THAP3
260,ENSG00000007923.16,DNAJC11
261,ENSG00000228750.7,LINC01672
262,ENSG00000284744.1,AL591163.1
263,ENSG00000237436.1,CAMTA1-DT
264,ENSG00000171735.19,CAMTA1
265,ENSG00000227950.1,AL590128.1
266,ENSG00000237365.1,AL512330.1
267,ENSG00000207056.1,RNU1-8P
268,ENSG00000237402.1,CAMTA1-IT1
269,ENSG00000237728.2,CAMTA1-AS2
270,ENSG00000225126.1,CAMTA1-AS1
271,ENSG00000270171.1,AL359881.3
272,ENSG00000270035.1,AL359881.2
273,ENSG00000269978.1,AL359881.1
274,ENSG00000049245.13,VAMP3
275,ENSG00000269925.1,Z98884.2
276,ENSG00000049246.14,PER3
277,ENSG00000236266.1,Z98884.1
278,ENSG00000049247.14,UTS2
279,ENSG00000049249.9,TNFRSF9
280,ENSG00000270330.1,AL009183.1
281,ENSG00000116288.13,PARK7
282,ENSG00000200344.1,Y_RNA
283,ENSG00000284747.1,AL034417.4
284,ENSG00000284716.1,AL034417.3
285,ENSG00000116285.13,ERRFI1
286,ENSG00000238290.1,AL034417.2
287,ENSG00000232848.1,AL034417.1
288,ENSG00000229305.1,AL358876.1
289,ENSG00000227634.3,LINC01714
290,ENSG00000200975.1,RNU1-7P
291,ENSG00000233645.1,AL358876.2
292,ENSG00000251977.1,RNU6-991P
293,ENSG00000162426.16,SLC45A1
294,ENSG00000252254.1,Y_RNA
295,ENSG00000142599.19,RERE
296,ENSG00000232912.6,RERE-AS1
297,ENSG00000221083.1,AL096855.1
298,ENSG00000270282.1,AL096855.2
299,ENSG00000234619.1,RPL7P11
300,ENSG00000224315.2,RPL7P7
301,ENSG00000222511.2,Y_RNA
302,ENSG00000226545.1,AL357552.1
303,ENSG00000228423.2,AL357552.2
304,ENSG00000229716.2,RPL23AP19
305,ENSG00000074800.16,ENO1
306,ENSG00000274258.1,MIR6728
307,ENSG00000230679.1,ENO1-AS1
308,ENSG00000201725.1,RNU6-304P
